backend,psnr_threshold,quality,total_mrs,avg_success_rate,perfect_count
stb,25.0,10,327,0.1651,0
stb,25.0,20,327,0.3568,0
stb,25.0,30,327,0.3568,0
stb,25.0,40,327,0.3598,3
stb,25.0,50,327,0.3629,6
stb,25.0,60,355,0.5718,203
stb,25.0,70,390,0.6103,238
stb,25.0,80,390,0.6103,238
stb,25.0,90,390,0.6103,238
